epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,206.059,1.03429,0.92871,1.37039,0.47157,0.52359,0.42525,0.1611,3.54552,2.42164,4.22131,0.000301435,0.000301435,0.000301435
73,209.433,1.0906,0.93597,1.28523,0.47157,0.52359,0.42525,0.1611,3.54552,2.42164,4.22131,0.000295494,0.000295494,0.000295494
74,211.675,1.23742,0.98198,1.70968,0.47157,0.52359,0.42525,0.1611,3.54552,2.42164,4.22131,0.000289271,0.000289271,0.000289271
75,214.662,1.0928,1.00882,1.45295,0.46972,0.36237,0.37487,0.15454,3.4213,2.52579,3.8317,0.000282765,0.000282765,0.000282765
76,216.765,1.02415,0.90738,1.39621,0.46972,0.36237,0.37487,0.15454,3.4213,2.52579,3.8317,0.000275976,0.000275976,0.000275976
77,218.895,0.9195,0.78169,1.36123,0.46972,0.36237,0.37487,0.15454,3.4213,2.52579,3.8317,0.000268904,0.000268904,0.000268904
78,222.311,0.96126,0.8515,1.23361,0.31815,0.40741,0.33718,0.14049,3.48718,2.94712,3.97294,0.000261548,0.000261548,0.000261548
79,225.698,0.98814,0.82224,1.32376,0.31815,0.40741,0.33718,0.14049,3.48718,2.94712,3.97294,0.00025391,0.00025391,0.00025391
80,229.639,0.96539,0.76471,1.20501,0.31815,0.40741,0.33718,0.14049,3.48718,2.94712,3.97294,0.000245989,0.000245989,0.000245989
81,233.499,1.02046,0.86252,1.38908,0.38234,0.33333,0.33751,0.1519,3.52732,2.81066,4.16095,0.000237786,0.000237786,0.000237786
82,236.94,1.04759,0.95939,1.39385,0.38234,0.33333,0.33751,0.1519,3.52732,2.81066,4.16095,0.000229299,0.000229299,0.000229299
83,240.966,0.85865,0.72858,1.12102,0.38234,0.33333,0.33751,0.1519,3.52732,2.81066,4.16095,0.000220529,0.000220529,0.000220529
84,243.6,1.27333,1.01083,1.58403,0.46739,0.40741,0.42563,0.21005,3.39469,2.33025,4.14341,0.000211476,0.000211476,0.000211476
85,246.395,1.13027,0.95366,1.45556,0.46739,0.40741,0.42563,0.21005,3.39469,2.33025,4.14341,0.000202141,0.000202141,0.000202141
86,250.032,0.82491,0.71049,1.23637,0.46739,0.40741,0.42563,0.21005,3.39469,2.33025,4.14341,0.000192522,0.000192522,0.000192522
87,253.161,0.94184,0.82267,1.22622,0.46739,0.40741,0.42563,0.21005,3.39469,2.33025,4.14341,0.00018262,0.00018262,0.00018262
88,255.009,1.00133,0.92845,1.3322,0.49344,0.55556,0.50104,0.23059,3.32537,2.03028,4.10909,0.000172436,0.000172436,0.000172436
89,257.163,0.98555,0.86384,1.17585,0.49344,0.55556,0.50104,0.23059,3.32537,2.03028,4.10909,0.000161969,0.000161969,0.000161969
90,260.128,0.92721,0.73605,1.19694,0.49344,0.55556,0.50104,0.23059,3.32537,2.03028,4.10909,0.000151218,0.000151218,0.000151218
91,266.741,0.88031,0.82854,1.29407,0.49344,0.55556,0.50104,0.23059,3.32537,2.03028,4.10909,0.000140185,0.000140185,0.000140185
92,268.704,0.9661,0.87191,1.49652,0.49224,0.59259,0.48797,0.20729,3.25224,1.92667,4.01071,0.000128869,0.000128869,0.000128869
93,270.62,0.79895,0.73336,1.29321,0.49224,0.59259,0.48797,0.20729,3.25224,1.92667,4.01071,0.000117269,0.000117269,0.000117269
94,272.862,0.80115,0.69078,1.19357,0.49224,0.59259,0.48797,0.20729,3.25224,1.92667,4.01071,0.000105387,0.000105387,0.000105387
95,275.056,0.82575,0.66786,1.2804,0.49224,0.59259,0.48797,0.20729,3.25224,1.92667,4.01071,9.32222e-05,9.32222e-05,9.32222e-05
96,277.28,0.79434,0.67545,1.19523,0.58078,0.68578,0.60824,0.24015,3.20705,1.87363,3.97063,8.07742e-05,8.07742e-05,8.07742e-05
97,279.284,0.78566,0.66289,1.23472,0.58078,0.68578,0.60824,0.24015,3.20705,1.87363,3.97063,6.80433e-05,6.80433e-05,6.80433e-05
98,281.735,0.8285,0.70407,1.31586,0.58078,0.68578,0.60824,0.24015,3.20705,1.87363,3.97063,5.50294e-05,5.50294e-05,5.50294e-05
99,283.958,0.86051,0.74887,1.29978,0.58078,0.68578,0.60824,0.24015,3.20705,1.87363,3.97063,4.17325e-05,4.17325e-05,4.17325e-05
100,286.073,0.79769,0.72972,1.32832,0.57955,0.68771,0.60401,0.25188,3.17461,1.80566,3.94274,2.81527e-05,2.81527e-05,2.81527e-05
